"Sample","DropVariable","TrainingVariableSet","TrainingEvents","AddVariable","BackgroundSample","FlattenBy","Performance","BDTLeafMinFraction","VariableTransform","ExtraFlags","BDTrainingTreeDepth","JobId"
"200pi25lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.169934814420683","0.5","","","30","516"
"400pi100lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.499517923361399","0.5","","","30","516"
"600pi150lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.624292993631044","0.5","","","30","516"
"100pi25lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.120885766118428","0.5","","","30","516"
"125pi25lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.135239785216266","0.5","","","30","516"
"125pi25lt9m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.161027715762459","0.5","","","30","516"
"125pi40lt9m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.192375632218295","0.5","","","30","516"
"125pi55lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.190196212483831","0.5","","","30","516"
"125pi55lt9m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.215176239330219","0.5","","","30","516"
"200pi50lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.229867053420861","0.5","","","30","516"
"200pi50lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.275286336505874","0.5","","","30","516"
"400pi50lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.338777634689229","0.5","","","30","516"
"400pi100lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.472397065899424","0.5","","","30","516"
"600pi50lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.370019016151063","0.5","","","30","516"
"600pi50lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.381704680197362","0.5","","","30","516"
"600pi150lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.613768205378497","0.5","","","30","516"
"1000pi50lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.36755350914173","0.5","","","30","516"
"1000pi50lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.384602422090907","0.5","","","30","516"
"1000pi150lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.626492888647066","0.5","","","30","516"
"1000pi150lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.614847345974925","0.5","","","30","516"
"1000pi400lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.804757906520992","0.5","","","30","516"
"1000pi400lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.79425912078799","0.5","","","30","516"
"1000pi400lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.754295897424916","0.5","","","30","516"
"1000pi50lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.690435826687077","0.5","","","30","516"
"600pi50lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.546608568471115","0.5","","","30","516"
"200pi50lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.229912661707477","0.5","","","30","516"
"400pi50lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.383379109844419","0.5","","","30","516"
"600pi150lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.607177376203759","0.5","","","30","516"
"400pi100lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.442097352896912","0.5","","","30","516"
"200pi25lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.170598370004818","0.5","","","30","516"
"200pi8lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.144399731482278","0.5","","","30","516"
"TestingSignalEvents","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.493781161947523","0.5","","","30","516"
"TrainingSignalEvents","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.493781161947523","0.5","","","30","516"
"200pi25lt5mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.159318877211691","1","","","40","518"
"400pi100lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.507181705808852","1","","","40","518"
"600pi150lt9mW","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.647197452229741","1","","","40","518"
"100pi25lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.115688081319862","1","","","40","518"
"125pi25lt5m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.127654664156919","1","","","40","518"
"125pi25lt9m","","DefaultAllpT","1000000","","UseBackgroundAll","JetPt","0.152615544016002","1","","","40","518"
