Sample Name,Filter Efficiency,Cross Section nb,Events Generated,Source,Nick Name,Tags,Proper Lifetime [m]
mc15_13TeV.361022.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W.merge.DAOD_EXOT15.e3668_s2576_s2132_r6765_r6282_p2452,3.33E-04,2433200,1982189,AMI,J2Z,background+train,0
mc15_13TeV.361023.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W.merge.DAOD_EXOT15.e3668_s2576_s2132_r6765_r6282_p2452,3.20E-04,26454,1929883,AMI,J3Z,background+train,0
mc15_13TeV.361024.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4W.merge.DAOD_EXOT15.e3668_s2576_s2132_r6765_r6282_p2452,5.30E-04,254.63,1856483,AMI,J4Z,background+train,0
mc15_13TeV.361025.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5W.merge.DAOD_EXOT15.e3668_s2576_s2132_r6765_r6282_p2452,9.23E-04,4.5536,1991700,AMI,J5Z,background+train,0
mc15_13TeV.361026.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6W.merge.DAOD_EXOT15.e3569_s2608_s2183_r6765_r6282_p2452,9.40E-04,0.25752,1892356,AMI,J6Z,background+train,0
mc15_13TeV.361027.Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W.merge.DAOD_EXOT15.e3668_s2608_s2183_r6765_r6282_p2452,3.93E-04,0.016214,1785200,AMI,J7Z,background+train,0
mc15_13TeV.304805.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH200_mS25_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,1.46E-10,395000,AMI,200pi25lt5mW,signal,0.53
mc15_13TeV.304813.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH400_mS100_lt9m.merge.AOD.e4754_s2698_r7146_r6282,1,7.12E-40,190000,AMI,400pi100lt9mW,signal+train,2.5
mc15_13TeV.304817.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH600_mS150_lt9m.merge.AOD.e4754_s2698_r7146_r6282,1,5.21E-51,185000,AMI,600pi150lt9mW,signal+train,2.69
mc15_13TeV.304803.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH100_mS25_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,3.73E-07,385000,AMI,100pi25lt5m,signal+limit,0.74
mc15_13TeV.304795.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH125_mS25_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,1.27E-07,385000,AMI,125pi25lt5m,signal+compare+limit,0.76
mc15_13TeV.304799.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH125_mS25_lt9m.merge.AOD.e4754_s2698_r7146_r6282,1,1.27E-07,185000,AMI,125pi25lt9m,signal+limit,1.21
mc15_13TeV.304800.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH125_mS40_lt9m.merge.AOD.e4754_s2698_r7146_r6282,1,1.50E-07,197000,AMI,125pi40lt9m,signal+limit,1.9
mc15_13TeV.304796.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH125_mS55_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,7.09E-27,381000,AMI,125pi55lt5m,signal+limit,1.54
mc15_13TeV.304801.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH125_mS55_lt9m.merge.AOD.e4804_s2726_r7146_r6282,1,7.09E-27,188000,AMI,125pi55lt9m,signal+limit,2.73
mc15_13TeV.304806.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH200_mS50_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,1.99E-31,377000,AMI,200pi50lt5mW,signal+extraptest,1.09
mc15_13TeV.304809.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH200_mS50_lt9m.merge.AOD.e4754_s2698_r7146_r6282,1,1.99E-31,189000,AMI,200pi50lt9mW,signal+train+extraptest,1.94
mc15_13TeV.304810.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH400_mS50_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,4.73E-38,387000,AMI,400pi50lt5mW,signal+train,0.82
mc15_13TeV.304811.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH400_mS100_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,7.12E-40,387000,AMI,400pi100lt5mW,signal+train,1.39
